coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,torsor_defect_criterion_rows,1,1,0,certificates/orientation/rhomred_weyl_orientation_torsor_defects/criterion_rows.csv,verified,one_row_313_computation_criterion_recorded
weyl_lift_rows,weyl_lift_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/weyl_lifts.csv,verified,no_weyl_lift_rows_supplied
quotient_borel_rows,quotient_borel_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/quotient_borel.csv,verified,no_quotient_borel_rows_supplied
finite_stabilizer_rows,finite_stabilizer_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_finite_stabilizer_rows_supplied
transition_rows,reduced_orientation_transition_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/transitions.csv,verified,no_transition_rows_supplied
row312_transition_rows,transition_cochain_map_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_transition/transition_cochain_map_rows.csv,verified,no_row312_transition_cochain_rows_supplied
torsor_transport_rows,torsor_transport_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_torsor_defects/torsor_transport_rows.csv,verified,no_torsor_transport_rows_supplied
torsor_defect_rows,torsor_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_torsor_defects/torsor_defect_rows.csv,verified,no_torsor_defect_vectors_supplied
torsor_defect_computation_claim,torsor_defects_computed_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1478,verified,row_313_not_claimed_computed
torsor_defect_vanishing_claim,torsor_defects_vanishing_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1479,verified,row_314_left_separate
