coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,local_count,1,1,0,criterion_rows.csv,verified,one_row_325_construction_criterion_recorded
semidirect_lift_rows,local_count,0,0,0,semidirect_lift_rows.csv,verified,no_semidirect_lift_rows_supplied
semidirect_relation_rows,local_count,0,0,0,semidirect_relation_rows.csv,verified,no_semidirect_relation_rows_supplied
row324_source_extension_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_s3_extension_decision/manifest.json,verified,row_324_does_not_claim_geometric_extension
compact_hall_certification_claim,import_claim,0,0,0,certificates/sources/k3e_compact_hall/manifest.json,verified,compact_Hall_source_not_certified
compact_hall_product_rows,import_count,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_Hall_product_rows_supplied
compact_hall_coproduct_rows,import_count,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_Hall_coproduct_rows_supplied
partial_action_groupoid_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_partial_action_groupoid/manifest.json,verified,partial_action_groupoid_not_populated
partial_groupoid_arrow_rows,import_count,0,0,0,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_arrow_rows.csv,verified,no_type_II_source_arrow_rows_supplied
tau_transport_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,verified,tau_transport_not_constructed
transition_orientation_certification_claim,import_claim,0,0,0,certificates/orientation/transition_orientation_preservation/manifest.json,verified,transition_orientation_not_certified
semidirect_hall_lift_claim,local_claim,0,0,0,manifest.json,verified,row_325_manifest_does_not_claim_semidirect_lifts
