word_id,ray_id,real_root_id,direction_index,source_direction_id,degree_id,beta_c1,beta_c2,beta_c3,mixed_even,source_reference,check_status,notes
mix_12_1,a_12,delta_3,1,u_12_1,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_2,a_12,delta_3,2,u_12_2,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_3,a_12,delta_3,3,u_12_3,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_4,a_12,delta_3,4,u_12_4,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_5,a_12,delta_3,5,u_12_5,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_6,a_12,delta_3,6,u_12_6,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_7,a_12,delta_3,7,u_12_7,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_8,a_12,delta_3,8,u_12_8,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_12_9,a_12,delta_3,9,u_12_9,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_1,a_13,delta_2,1,u_13_1,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_2,a_13,delta_2,2,u_13_2,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_3,a_13,delta_2,3,u_13_3,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_4,a_13,delta_2,4,u_13_4,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_5,a_13,delta_2,5,u_13_5,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_6,a_13,delta_2,6,u_13_6,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_7,a_13,delta_2,7,u_13_7,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_8,a_13,delta_2,8,u_13_8,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_13_9,a_13,delta_2,9,u_13_9,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_1,a_23,delta_1,1,u_23_1,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_2,a_23,delta_1,2,u_23_2,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_3,a_23,delta_1,3,u_23_3,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_4,a_23,delta_1,4,u_23_4,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_5,a_23,delta_1,5,u_23_5,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_6,a_23,delta_1,6,u_23_6,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_7,a_23,delta_1,7,u_23_7,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_8,a_23,delta_1,8,u_23_8,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
mix_23_9,a_23,delta_1,9,u_23_9,delta123,1,1,1,1,GN isotropic direction packet plus real bracket,verified,mixed real-isotropic word in degree delta123
