generator_id,degree_id,generator_index,parity,signed_contribution,fibre_size,source_reference,check_status,notes
xi_delta123_001,delta123,1,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_002,delta123,2,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_003,delta123,3,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_004,delta123,4,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_005,delta123,5,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_006,delta123,6,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_007,delta123,7,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_008,delta123,8,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_009,delta123,9,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_010,delta123,10,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_011,delta123,11,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_012,delta123,12,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_013,delta123,13,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_014,delta123,14,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_015,delta123,15,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_016,delta123,16,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_017,delta123,17,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_018,delta123,18,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_019,delta123,19,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_020,delta123,20,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_021,delta123,21,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_022,delta123,22,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_023,delta123,23,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
