degree_id,phi_n,phi_l,computed_coefficient,full_even,full_odd,parity_difference,comparison_residual,proof_reference,check_status,notes
delta_1,0,1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
delta_2,0,1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
delta_3,0,-1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
a_12,1,2,10,10,0,10,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
a_13,0,0,10,10,0,10,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
a_23,0,0,10,10,0,10,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_1_delta_2,2,3,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_1_delta_3,0,1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_2_delta_1,2,3,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_2_delta_3,0,1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_3_delta_1,0,-1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
2delta_3_delta_2,0,-1,1,1,0,1,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,signed coefficient equals target parity difference
delta123,1,1,-64,29,93,-64,0,compute/verify_square_root.py first_timelike_presentation_split,verified,signed coefficient equals target parity difference
