degree_id,real_simple_even,real_bracket_even,isotropic_simple_even,real_string_even,real_real_real_even,mixed_real_isotropic_even,odd_imaginary_simple,total_even,total_odd,decomposition_defect_rank,proof_reference,check_status,notes
delta_1,1,0,0,0,0,0,0,1,0,0,Kac real simple root,verified,real simple even generator
delta_2,1,0,0,0,0,0,0,1,0,0,Kac real simple root,verified,real simple even generator
delta_3,1,0,0,0,0,0,0,1,0,0,Kac real simple root,verified,real simple even generator
a_12,0,1,9,0,0,0,0,10,0,0,GN isotropic multiplicity nine plus real bracket,verified,isotropic degree target basis
a_13,0,1,9,0,0,0,0,10,0,0,GN isotropic multiplicity nine plus real bracket,verified,isotropic degree target basis
a_23,0,1,9,0,0,0,0,10,0,0,GN isotropic multiplicity nine plus real bracket,verified,isotropic degree target basis
2delta_1_delta_2,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
2delta_1_delta_3,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
2delta_2_delta_1,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
2delta_2_delta_3,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
2delta_3_delta_1,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
2delta_3_delta_2,0,0,0,1,0,0,0,1,0,0,Kac real-string root through Serre exponent 3,verified,height-three real-string target basis
delta123,0,0,0,0,2,27,93,29,93,0,compute/verify_square_root.py first_timelike_presentation_split,verified,2 real-real-real plus 27 mixed real-isotropic even directions and 93 odd imaginary-simple directions
