degree_id,tex_label,family,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,full_even,full_odd,parity_status,parity_source,source_formula_id,proof_reference,check_status,notes
delta_1,delta_1,real_simple,1,0,0,1,1,0,1,2,1,1,0,target_parity_verified,real_simple_even,theta_series_phi_01_and_gn_kac_presentation,compute/verify_square_root.py signed_root_supermultiplicity,verified,real simple root
delta_2,delta_2,real_simple,0,1,0,0,1,1,1,2,1,1,0,target_parity_verified,real_simple_even,theta_series_phi_01_and_gn_kac_presentation,compute/verify_square_root.py signed_root_supermultiplicity,verified,real simple root
delta_3,delta_3,real_simple,0,0,1,0,-1,0,1,2,1,1,0,target_parity_verified,real_simple_even,theta_series_phi_01_and_gn_kac_presentation,compute/verify_square_root.py signed_root_supermultiplicity,verified,real simple root
a_12,a_{12},isotropic_with_bracket,1,1,0,1,2,1,2,0,10,10,0,target_parity_verified,gn_isotropic_plus_real_bracket,theta_series_phi_01_and_gn_kac_presentation,GN Sections 3--4 and Kac real-root bracket,verified,one real bracket plus nine isotropic simple directions
a_13,a_{13},isotropic_with_bracket,1,0,1,1,0,0,2,0,10,10,0,target_parity_verified,gn_isotropic_plus_real_bracket,theta_series_phi_01_and_gn_kac_presentation,GN Sections 3--4 and Kac real-root bracket,verified,one real bracket plus nine isotropic simple directions
a_23,a_{23},isotropic_with_bracket,0,1,1,0,0,1,2,0,10,10,0,target_parity_verified,gn_isotropic_plus_real_bracket,theta_series_phi_01_and_gn_kac_presentation,GN Sections 3--4 and Kac real-root bracket,verified,one real bracket plus nine isotropic simple directions
2delta_1_delta_2,2delta_1+delta_2,height_three_real_string,2,1,0,2,3,1,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
2delta_1_delta_3,2delta_1+delta_3,height_three_real_string,2,0,1,2,1,0,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
2delta_2_delta_1,2delta_2+delta_1,height_three_real_string,1,2,0,1,3,2,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
2delta_2_delta_3,2delta_2+delta_3,height_three_real_string,0,2,1,0,1,2,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
2delta_3_delta_1,2delta_3+delta_1,height_three_real_string,1,0,2,1,-1,0,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
2delta_3_delta_2,2delta_3+delta_2,height_three_real_string,0,1,2,0,-1,1,3,2,1,1,0,target_parity_verified,kac_real_string,theta_series_phi_01_and_gn_kac_presentation,Kac real-root Weyl action and Serre exponent 3,verified,height-three real string root
delta123,delta_{123},first_timelike,1,1,1,1,1,1,3,-6,-64,29,93,target_parity_verified,gn_kac_presentation_split,theta_series_phi_01_and_gn_kac_presentation,compute/verify_square_root.py first_timelike_presentation_split,verified,first timelike target split
