parent_degree_id,total_proper_subdegrees,nonzero_proper_subdegrees,wrel_proper_subdegrees,missing_nonzero_subdegrees,missing_nonzero_subdegree_ids,missing_nonzero_signed_dimensions,coverage_defect_rank,proof_reference,check_status,notes
delta_1,0,0,0,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
delta_2,0,0,0,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
delta_3,0,0,0,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
a_12,2,2,2,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
a_13,2,2,2,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
a_23,2,2,2,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_1_delta_2,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_1_delta_3,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_2_delta_1,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_2_delta_3,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_3_delta_1,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta_3_delta_2,4,3,3,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
delta123,6,6,6,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_1_delta_2,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_1_delta_3,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_2_delta_1,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_2_delta_3,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_3_delta_1,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
3delta_3_delta_2,6,4,4,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2a_12,7,5,5,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2a_13,7,5,5,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2a_23,7,5,5,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_1_2,10,9,9,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_1_3,14,10,12,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_1_4,18,11,13,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_1_5,22,12,14,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_2_2,10,9,9,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_2_3,14,10,12,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_2_4,18,11,13,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_2_5,22,12,14,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_3_2,10,9,9,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_3_3,14,10,12,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_3_4,18,11,13,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
C_3_5,22,12,14,0,,,0,compute/verify_square_root.py signed_root_supermultiplicity,verified,downward subdegree coverage verified
2delta123,25,22,19,3,D_1;D_2;D_3,D_1:-513;D_2:-513;D_3:-513,3,compute/verify_square_root.py signed_root_supermultiplicity,verified,2delta123 has three nonzero proper subdegree defects
