check_id,real_root_id,simple_degree_id,simple_beta_c1,simple_beta_c2,simple_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_wsat,relation_payload_status,proof_reference,check_status,notes
ps_delta_3_2a_12,delta_3,2a_12,2,2,0,-8,9,2,2,9,2,-5,2,13,18,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_2a_13,delta_2,2a_13,2,0,2,-8,9,2,9,2,2,9,9,13,18,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_2a_23,delta_1,2a_23,0,2,2,-8,9,9,2,2,9,9,2,13,18,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_C_1_2,delta_2,C_1_2,2,1,1,-4,5,2,6,1,2,7,6,9,2,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_C_1_2,delta_3,C_1_2,2,1,1,-4,5,2,1,6,2,-3,1,9,2,1,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_C_2_2,delta_1,C_2_2,1,2,1,-4,5,6,2,1,6,7,2,9,2,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_C_2_2,delta_3,C_2_2,1,2,1,-4,5,1,2,6,1,-3,2,9,2,1,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_C_3_2,delta_1,C_3_2,1,1,2,-4,5,6,1,2,6,5,1,9,2,1,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_C_3_2,delta_2,C_3_2,1,1,2,-4,5,1,6,2,1,5,6,9,2,1,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_D_1,delta_1,D_1,1,2,2,-6,7,8,2,2,8,8,2,12,0,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_D_1,delta_2,D_1,1,2,2,-2,3,1,5,2,1,4,5,8,-8,108,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_D_1,delta_3,D_1,1,2,2,-2,3,1,2,5,1,-2,2,8,-8,108,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_D_2,delta_1,D_2,2,1,2,-2,3,5,1,2,5,4,1,8,-8,108,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_D_2,delta_2,D_2,2,1,2,-6,7,2,8,2,2,8,8,12,0,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_D_2,delta_3,D_2,2,1,2,-2,3,2,1,5,2,-2,1,8,-8,108,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_D_3,delta_1,D_3,2,2,1,-2,3,5,2,1,5,6,2,8,-8,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_D_3,delta_2,D_3,2,2,1,-2,3,2,5,1,2,6,5,8,-8,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_D_3,delta_3,D_3,2,2,1,-6,7,2,2,8,2,-4,2,12,0,10,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_1_2delta123,delta_1,2delta123,2,2,2,-4,5,7,2,2,7,7,2,11,-14,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_2_2delta123,delta_2,2delta123,2,2,2,-4,5,2,7,2,2,7,7,11,-14,0,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
ps_delta_3_2delta123,delta_3,2delta123,2,2,2,-4,5,2,2,7,2,-3,2,11,-14,-513,false,terminal_codomains_missing_from_Wsat,compute/verify_square_root.py real_string_exponent,verified,post-saturation real-string terminal obligation
