terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_0_14_16,ssrse_delta_3_beta_0_14_13,0,14,16,0,-2,14,30,8,0,false,1,1,beta_0_14_15,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_0_15_17,ssrse_delta_3_beta_0_15_14,0,15,17,0,-2,15,32,8,0,false,1,3,beta_0_14_15;beta_0_15_15;beta_0_15_16,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_14_0_16,ssrse_delta_3_beta_14_0_13,14,0,16,14,-2,0,30,8,0,false,1,1,beta_14_0_15,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_14_55_13,ssrse_delta_2_beta_14_0_13,14,55,13,14,56,55,82,112,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_14_57_14,ssrse_delta_2_beta_14_0_14,14,57,14,14,57,57,85,114,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_15_0_17,ssrse_delta_3_beta_15_0_14,15,0,17,15,-2,0,32,8,0,false,1,3,beta_14_0_15;beta_15_0_15;beta_15_0_16,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_15_59_14,ssrse_delta_2_beta_15_0_14,15,59,14,15,60,59,88,120,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_55_14_13,ssrse_delta_1_beta_0_14_13,55,14,13,55,56,14,82,112,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_57_14_14,ssrse_delta_1_beta_0_14_14,57,14,14,57,57,14,85,114,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
beta_59_15_14,ssrse_delta_1_beta_0_15_14,59,15,14,59,60,15,88,120,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py second_six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the second 6-row saturation extension; target-degree audit only
