terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_0_15_13,srse_delta_2_beta_0_12_13,0,15,13,0,2,15,28,8,0,false,1,1,beta_0_14_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_0_16_14,srse_delta_2_beta_0_13_14,0,16,14,0,2,16,30,8,0,false,1,3,beta_0_14_13;beta_0_14_14;beta_0_15_14,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_12_51_13,srse_delta_2_beta_12_0_13,12,51,13,12,50,51,76,104,0,false,1,1,beta_0_14_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_13_53_13,srse_delta_2_beta_13_0_13,13,53,13,13,53,53,79,106,0,false,1,1,beta_0_14_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_13_55_14,srse_delta_2_beta_13_0_14,13,55,14,13,54,55,82,112,0,false,1,3,beta_0_14_13;beta_0_14_14;beta_0_15_14,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_15_0_13,srse_delta_1_beta_12_0_13,15,0,13,15,2,0,28,8,0,false,1,1,beta_14_0_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_16_0_14,srse_delta_1_beta_13_0_14,16,0,14,16,2,0,30,8,0,false,1,3,beta_14_0_13;beta_14_0_14;beta_15_0_14,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_51_12_13,srse_delta_1_beta_0_12_13,51,12,13,51,50,12,76,104,0,false,1,1,beta_14_0_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_53_13_13,srse_delta_1_beta_0_13_13,53,13,13,53,53,13,79,106,0,false,1,1,beta_14_0_13,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
beta_55_13_14,srse_delta_1_beta_0_13_14,55,13,14,55,54,13,82,112,0,false,1,3,beta_14_0_13;beta_14_0_14;beta_15_0_14,compute/verify_wrel_degree_closure_fixture.py six_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 6-row saturation extension; target-degree audit only
