degree_id,tex_label,family,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,target_status,parity_packet_id,closure_source,proof_reference,check_status,notes
delta_1,delta_1,wle3_real_simple,1,0,0,1,1,0,1,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base real simple root
delta_2,delta_2,wle3_real_simple,0,1,0,0,1,1,1,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base real simple root
delta_3,delta_3,wle3_real_simple,0,0,1,0,-1,0,1,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base real simple root
a_12,a_{12},wle3_isotropic,1,1,0,1,2,1,2,0,10,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base isotropic target row
a_13,a_{13},wle3_isotropic,1,0,1,1,0,0,2,0,10,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base isotropic target row
a_23,a_{23},wle3_isotropic,0,1,1,0,0,1,2,0,10,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity target_degrees.csv,verified,base isotropic target row
2delta_1_delta_2,2delta_1+delta_2,wle3_real_string,2,1,0,2,3,1,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
2delta_1_delta_3,2delta_1+delta_3,wle3_real_string,2,0,1,2,1,0,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
2delta_2_delta_1,2delta_2+delta_1,wle3_real_string,1,2,0,1,3,2,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
2delta_2_delta_3,2delta_2+delta_3,wle3_real_string,0,2,1,0,1,2,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
2delta_3_delta_1,2delta_3+delta_1,wle3_real_string,1,0,2,1,-1,0,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
2delta_3_delta_2,2delta_3+delta_2,wle3_real_string,0,1,2,0,-1,1,3,2,1,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity real_string_checks.csv,verified,base height-three real-string root
delta123,delta_{123},wle3_first_timelike,1,1,1,1,1,1,3,-6,-64,target_parity_verified,wle3_target_parity,W_le3_act,wle3_target_parity decomposition.csv,verified,base first timelike row
3delta_1_delta_2,3delta_1+delta_2,real_serre_terminal,3,1,0,3,4,1,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_1)^3 e_2
3delta_1_delta_3,3delta_1+delta_3,real_serre_terminal,3,0,1,3,2,0,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_1)^3 e_3
3delta_2_delta_1,3delta_2+delta_1,real_serre_terminal,1,3,0,1,4,3,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_2)^3 e_1
3delta_2_delta_3,3delta_2+delta_3,real_serre_terminal,0,3,1,0,2,3,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_2)^3 e_3
3delta_3_delta_1,3delta_3+delta_1,real_serre_terminal,1,0,3,1,-2,0,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_3)^3 e_1
3delta_3_delta_2,3delta_3+delta_2,real_serre_terminal,0,1,3,0,-2,1,4,8,0,terminal_zero_no_target_basis,serre_terminal,R4_real_serre_terminal,Kac real-Serre exponent 3,verified,terminal row for (ad e_3)^3 e_2
2a_12,2a_{12},doubled_isotropic,2,2,0,2,4,2,4,0,10,target_parity_verified,a071_target_presentation,I4_doubled_isotropic,A071 target_degrees.csv,verified,doubled isotropic closure row
2a_13,2a_{13},doubled_isotropic,2,0,2,2,0,0,4,0,10,target_parity_verified,a071_target_presentation,I4_doubled_isotropic,A071 target_degrees.csv,verified,doubled isotropic closure row
2a_23,2a_{23},doubled_isotropic,0,2,2,0,0,2,4,0,10,target_parity_verified,a071_target_presentation,I4_doubled_isotropic,A071 target_degrees.csv,verified,doubled isotropic closure row
C_1_2,"C_{1,2}",complementary_string_s2,2,1,1,2,2,1,4,-8,108,signed_only_blocked,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string signed-only row
C_1_3,"C_{1,3}",complementary_string_s3,3,1,1,3,3,1,5,-6,-64,target_parity_verified,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string parity row
C_1_4,"C_{1,4}",complementary_string_s4,4,1,1,4,4,1,6,0,10,target_parity_verified,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string parity row
C_1_5,"C_{1,5}",complementary_string_s5,5,1,1,5,5,1,7,10,0,target_parity_verified,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string terminal zero row
C_2_2,"C_{2,2}",complementary_string_s2,1,2,1,1,2,2,4,-8,108,signed_only_blocked,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string signed-only row
C_2_3,"C_{2,3}",complementary_string_s3,1,3,1,1,3,3,5,-6,-64,target_parity_verified,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string parity row
C_2_4,"C_{2,4}",complementary_string_s4,1,4,1,1,4,4,6,0,10,target_parity_verified,a071_target_presentation,C_le7_complementary_string,A071 target_degrees.csv,verified,complementary string parity row
