degree_id,parent_terminal_degree_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,defect_occurrence_count,coverage_role,proof_reference,check_status,notes
beta_0_2_3,beta_1_2_5;beta_1_2_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,0,2,3,0,-1,2,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_0_3_2,beta_1_5_2;beta_1_6_2;beta_2_7_2;beta_2_8_2;beta_2_9_2,0,3,2,0,1,3,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_0_3,beta_2_1_5;beta_2_1_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,2,0,3,2,-1,0,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_3_0,beta_2_5_1;beta_2_6_1;beta_2_7_2;beta_2_8_2;beta_2_9_2,2,3,0,2,5,3,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_3_0_2,beta_5_1_2;beta_6_1_2;beta_7_2_2;beta_8_2_2;beta_9_2_2,3,0,2,3,1,0,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_3_2_0,beta_5_2_1;beta_6_2_1;beta_7_2_2;beta_8_2_2;beta_9_2_2,3,2,0,3,5,2,5,2,1,27,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_1_2_3,beta_1_2_5;beta_1_2_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,1,2,3,1,0,2,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_1_3_2,beta_1_5_2;beta_1_6_2;beta_2_7_2;beta_2_8_2;beta_2_9_2,1,3,2,1,2,3,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_1_3,beta_2_1_5;beta_2_1_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,2,1,3,2,0,1,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_3_1,beta_2_5_1;beta_2_6_1;beta_2_7_2;beta_2_8_2;beta_2_9_2,2,3,1,2,4,3,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_3_1_2,beta_5_1_2;beta_6_1_2;beta_7_2_2;beta_8_2_2;beta_9_2_2,3,1,2,3,2,1,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_3_2_1,beta_5_2_1;beta_6_2_1;beta_7_2_2;beta_8_2_2;beta_9_2_2,3,2,1,3,4,2,6,-16,808,99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_1_2_4,beta_1_2_5;beta_1_2_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,1,2,4,1,-1,2,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
