check_id,real_root_id,defect_degree_id,defect_beta_c1,defect_beta_c2,defect_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_additive_m,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrs_delta_3_beta_0_4_3,delta_3,beta_0_4_3,0,4,3,-2,3,0,4,6,0,-2,4,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_0_3_4,delta_2,beta_0_3_4,0,3,4,-2,3,0,6,4,0,2,6,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_3_3,delta_3,beta_1_3_3,1,3,3,-2,3,1,3,6,1,-2,3,10,-16,808,85,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_3_3,delta_2,beta_1_3_3,1,3,3,-2,3,1,6,3,1,4,6,10,-16,808,85,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_3_1_3,delta_3,beta_3_1_3,3,1,3,-2,3,3,1,6,3,-2,1,10,-16,808,85,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_0_3,delta_3,beta_4_0_3,4,0,3,-2,3,4,0,6,4,-2,0,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_0_4,delta_1,beta_3_0_4,3,0,4,-2,3,6,0,4,6,2,0,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_1_3,delta_1,beta_3_1_3,3,1,3,-2,3,6,1,3,6,4,1,10,-16,808,85,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_0_5_4,delta_3,beta_0_5_4,0,5,4,-2,3,0,5,7,0,-2,5,12,8,0,90,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_0_4_5,delta_2,beta_0_4_5,0,4,5,-2,3,0,7,5,0,2,7,12,8,0,90,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_4_4,delta_3,beta_1_4_4,1,4,4,-2,3,1,4,7,1,-2,4,12,-24,4016,-594,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_4_4,delta_2,beta_1_4_4,1,4,4,-2,3,1,7,4,1,4,7,12,-24,4016,-594,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_2_3_4,delta_3,beta_2_3_4,2,3,4,-2,3,2,3,7,2,-2,3,12,-40,58640,-495,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_3,delta_2,beta_2_4_3,2,4,3,-2,3,2,7,3,2,6,7,12,-40,0,-62280,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
