degree_id,parent_terminal_degree_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,defect_occurrence_count,coverage_role,proof_reference,check_status,notes
beta_0_6_7,beta_0_6_8;beta_0_7_9;beta_1_13_7;beta_1_15_8;beta_1_6_10;beta_1_6_11;beta_1_6_12;beta_1_6_9;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,6,7,0,-1,6,13,2,1,54,28,28,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_5_7,beta_1_13_7;beta_1_15_8;beta_1_5_10;beta_1_5_8;beta_1_5_9;beta_1_6_10;beta_1_6_11;beta_1_6_12;beta_1_6_9;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,5,7,1,-1,5,13,-38,-43200,495,29,29,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_5_1_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_5_1_10;beta_5_1_8;beta_5_1_9;beta_6_1_10;beta_6_1_11;beta_6_1_12;beta_6_1_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,5,1,7,5,-1,1,13,-38,-43200,495,29,29,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_6_0_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_6_0_8;beta_6_1_10;beta_6_1_11;beta_6_1_12;beta_6_1_9;beta_7_0_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,6,0,7,6,-1,0,13,2,1,54,28,28,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_7_7,beta_0_7_9;beta_1_13_7;beta_1_15_8;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,7,7,0,0,7,14,0,10,99,23,23,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_6_7,beta_1_13_7;beta_1_15_8;beta_1_6_10;beta_1_6_11;beta_1_6_12;beta_1_6_9;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,6,7,1,0,6,14,-48,188304,900,26,26,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_6_1_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_6_1_10;beta_6_1_11;beta_6_1_12;beta_6_1_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,6,1,7,6,0,1,14,-48,188304,900,26,26,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_0_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_7_0_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,0,7,7,0,0,14,0,10,99,23,23,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_7_8,beta_0_7_9;beta_1_15_8;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,7,8,0,-1,7,15,2,1,-99,17,17,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_8_7,beta_1_13_7;beta_1_15_8;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,8,7,0,1,8,15,2,1,-99,19,19,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
