check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrsse_delta_2_beta_0_6_7,delta_2,beta_0_6_7,0,6,7,-2,3,0,9,7,0,2,9,16,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_6_0_7,delta_1,beta_6_0_7,6,0,7,-2,3,9,0,7,9,2,0,16,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_0_8_7,delta_3,beta_0_8_7,0,8,7,-2,3,0,8,10,0,-2,8,18,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_0_7_8,delta_2,beta_0_7_8,0,7,8,-2,3,0,10,8,0,2,10,18,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_1_7_7,delta_3,beta_1_7_7,1,7,7,-2,3,1,7,10,1,-2,7,18,-48,188304,true,terminal_codomains_in_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_7_7,delta_2,beta_1_7_7,1,7,7,-2,3,1,10,7,1,4,10,18,-48,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_7_1_7,delta_3,beta_7_1_7,7,1,7,-2,3,7,1,10,7,-2,1,18,-48,188304,true,terminal_codomains_in_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_3_beta_8_0_7,delta_3,beta_8_0_7,8,0,7,-2,3,8,0,10,8,-2,0,18,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_7_0_8,delta_1,beta_7_0_8,7,0,8,-2,3,10,0,8,10,2,0,18,8,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_7_1_7,delta_1,beta_7_1_7,7,1,7,-2,3,10,1,7,10,4,1,18,-48,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_1_6_7,delta_2,beta_1_6_7,1,6,7,-4,5,1,11,7,1,5,11,19,-38,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
