degree_id,parent_terminal_degree_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,parent_terminal_count,defect_occurrence_count,coverage_role,proof_reference,check_status,notes
beta_0_10_11,beta_0_10_12;beta_0_11_13;beta_1_17_11;beta_1_19_12;beta_8_38_11;beta_8_40_12,0,10,11,0,-1,10,21,2,1,6,6,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_10_0_11,beta_10_0_12;beta_11_0_13;beta_17_1_11;beta_19_1_12;beta_38_8_11;beta_40_8_12,10,0,11,10,-1,0,21,2,1,6,6,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_0_11_11,beta_0_11_13;beta_1_17_11;beta_1_19_12;beta_8_38_11;beta_8_40_12,0,11,11,0,0,11,22,0,10,5,5,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_11_0_11,beta_11_0_13;beta_17_1_11;beta_19_1_12;beta_38_8_11;beta_40_8_12,11,0,11,11,0,0,22,0,10,5,5,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_0_11_12,beta_0_11_13;beta_1_19_12;beta_8_40_12,0,11,12,0,-1,11,23,2,1,3,3,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_0_12_11,beta_1_17_11;beta_1_19_12;beta_8_38_11;beta_8_40_12,0,12,11,0,1,12,23,2,1,4,4,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_11_0_12,beta_11_0_13;beta_19_1_12;beta_40_8_12,11,0,12,11,-1,0,23,2,1,3,3,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_12_0_11,beta_17_1_11;beta_19_1_12;beta_38_8_11;beta_40_8_12,12,0,11,12,1,0,23,2,1,4,4,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_0_12_12,beta_1_19_12;beta_8_40_12,0,12,12,0,0,12,24,0,10,2,2,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_12_0_12,beta_19_1_12;beta_40_8_12,12,0,12,12,0,0,24,0,10,2,2,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_0_13_12,beta_1_19_12;beta_8_40_12,0,13,12,0,1,13,25,2,1,2,2,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
beta_13_0_12,beta_19_1_12;beta_40_8_12,13,0,12,13,1,0,25,2,1,2,2,defect_layer_real_string_saturation_extension_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 96-row terminal layer; target-degree audit only
