terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_0_9_7,dlrsse_delta_2_beta_0_6_7,0,9,7,0,2,9,16,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_9_0_7,dlrsse_delta_1_beta_6_0_7,9,0,7,9,2,0,16,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_8_10,dlrsse_delta_3_beta_0_8_7,0,8,10,0,-2,8,18,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_10_8,dlrsse_delta_2_beta_0_7_8,0,10,8,0,2,10,18,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_7_10,dlrsse_delta_3_beta_1_7_7,1,7,10,1,-2,7,18,-48,188304,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_10_7,dlrsse_delta_2_beta_1_7_7,1,10,7,1,4,10,18,-48,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_1_10,dlrsse_delta_3_beta_7_1_7,7,1,10,7,-2,1,18,-48,188304,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_0_10,dlrsse_delta_3_beta_8_0_7,8,0,10,8,-2,0,18,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_10_0_8,dlrsse_delta_1_beta_7_0_8,10,0,8,10,2,0,18,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_10_1_7,dlrsse_delta_1_beta_7_1_7,10,1,7,10,4,1,18,-48,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_11_7,dlrsse_delta_2_beta_1_6_7,1,11,7,1,5,11,19,-38,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_11_1_7,dlrsse_delta_1_beta_6_1_7,11,1,7,11,5,1,19,-38,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_9_11,dlrsse_delta_3_beta_0_9_8,0,9,11,0,-2,9,20,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_11_9,dlrsse_delta_2_beta_0_8_9,0,11,9,0,2,11,20,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_8_11,dlrsse_delta_3_beta_1_8_8,1,8,11,1,-2,8,20,-56,556416,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
