check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_additive_m,terminal_in_w85,relation_payload_status,proof_reference,check_status,notes
tlse_delta_2_beta_0_2_3,delta_2,beta_0_2_3,0,2,3,-2,3,0,5,3,0,2,5,8,8,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_0_3_2,delta_3,beta_0_3_2,0,3,2,-2,3,0,3,5,0,-2,3,8,8,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_0_3,delta_1,beta_2_0_3,2,0,3,-2,3,5,0,3,5,2,0,8,8,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_3_0,delta_1,beta_2_3_0,2,3,0,-2,3,5,3,0,5,8,3,8,8,0,-26,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_3_0_2,delta_3,beta_3_0_2,3,0,2,-2,3,3,0,5,3,-2,0,8,8,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_3_2_0,delta_2,beta_3_2_0,3,2,0,-2,3,3,5,0,3,8,5,8,8,0,-26,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_2_3,delta_3,beta_2_2_3,2,2,3,-2,3,2,2,6,2,-2,2,10,-24,4016,162,true,terminal_codomains_in_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_3_2,delta_2,beta_2_3_2,2,3,2,-2,3,2,6,2,2,6,6,10,-24,0,-14656,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_3_2_2,delta_1,beta_3_2_2,3,2,2,-2,3,6,2,2,6,6,2,10,-24,0,-14656,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_1_2_3,delta_2,beta_1_2_3,1,2,3,-4,5,1,7,3,1,5,7,11,-6,-64,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_1_3_2,delta_3,beta_1_3_2,1,3,2,-4,5,1,3,7,1,-3,3,11,-6,-64,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
