check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
trse_delta_2_beta_0_10_11,delta_2,beta_0_10_11,0,10,11,-2,3,0,13,11,0,2,13,24,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_1_beta_10_0_11,delta_1,beta_10_0_11,10,0,11,-2,3,13,0,11,13,2,0,24,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_3_beta_0_12_11,delta_3,beta_0_12_11,0,12,11,-2,3,0,12,14,0,-2,12,26,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_2_beta_0_11_12,delta_2,beta_0_11_12,0,11,12,-2,3,0,14,12,0,2,14,26,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_3_beta_12_0_11,delta_3,beta_12_0_11,12,0,11,-2,3,12,0,14,12,-2,0,26,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_1_beta_11_0_12,delta_1,beta_11_0_12,11,0,12,-2,3,14,0,12,14,2,0,26,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_3_beta_0_13_12,delta_3,beta_0_13_12,0,13,12,-2,3,0,13,15,0,-2,13,28,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_3_beta_13_0_12,delta_3,beta_13_0_12,13,0,12,-2,3,13,0,15,13,-2,0,28,8,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_2_beta_10_0_11,delta_2,beta_10_0_11,10,0,11,-42,43,10,43,11,10,42,43,64,88,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_1_beta_0_10_11,delta_1,beta_0_10_11,0,10,11,-42,43,43,10,11,43,42,10,64,88,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
trse_delta_2_beta_11_0_11,delta_2,beta_11_0_11,11,0,11,-44,45,11,45,11,11,45,45,67,90,0,false,terminal_codomains_missing_from_W571,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_expected_obligations,verified,real-string terminal forced by promoting a 12-row saturation-extension degree; target-degree audit only
