terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_0_13_11,trse_delta_2_beta_0_10_11,0,13,11,0,2,13,24,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_13_0_11,trse_delta_1_beta_10_0_11,13,0,11,13,2,0,24,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_0_12_14,trse_delta_3_beta_0_12_11,0,12,14,0,-2,12,26,8,0,false,1,1,beta_0_12_13,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_0_14_12,trse_delta_2_beta_0_11_12,0,14,12,0,2,14,26,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_12_0_14,trse_delta_3_beta_12_0_11,12,0,14,12,-2,0,26,8,0,false,1,1,beta_12_0_13,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_14_0_12,trse_delta_1_beta_11_0_12,14,0,12,14,2,0,26,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_0_13_15,trse_delta_3_beta_0_13_12,0,13,15,0,-2,13,28,8,0,false,1,3,beta_0_12_13;beta_0_13_13;beta_0_13_14,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_13_0_15,trse_delta_3_beta_13_0_12,13,0,15,13,-2,0,28,8,0,false,1,3,beta_12_0_13;beta_13_0_13;beta_13_0_14,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_10_43_11,trse_delta_2_beta_10_0_11,10,43,11,10,42,43,64,88,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_43_10_11,trse_delta_1_beta_0_10_11,43,10,11,43,42,10,64,88,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_11_45_11,trse_delta_2_beta_11_0_11,11,45,11,11,45,45,67,90,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_45_11_11,trse_delta_1_beta_0_11_11,45,11,11,45,45,11,67,90,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_11_47_12,trse_delta_2_beta_11_0_12,11,47,12,11,46,47,70,96,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_12_47_11,trse_delta_2_beta_12_0_11,12,47,11,12,48,47,70,96,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_47_11_12,trse_delta_1_beta_0_11_12,47,11,12,47,46,11,70,96,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_47_12_11,trse_delta_1_beta_0_12_11,47,12,11,47,48,12,70,96,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_12_49_12,trse_delta_2_beta_12_0_12,12,49,12,12,49,49,73,98,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_49_12_12,trse_delta_1_beta_0_12_12,49,12,12,49,49,12,73,98,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_13_51_12,trse_delta_2_beta_13_0_12,13,51,12,13,52,51,76,104,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
beta_51_13_12,trse_delta_1_beta_0_13_12,51,13,12,51,52,13,76,104,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py twelve_row_saturation_real_string_terminal_rows,verified,distinct real-string terminal degree after the 12-row saturation extension; target-degree audit only
